priority,submitted_by,name,country,city,suburb,state,postcode,location,time,start_time,finish_time,image_path,description,url
2,jessie.dean@lornajane.com.au,Lorna Jane UK Active Nation Day,United Kingdom,London,London,SE1,6DP,103 Gaunt St,11:30am,11:30am,5:30pm,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/cf6baea2-e3b2-49b3-9fae-2e6f55343d83/Header-banner.jpg,"This year in London, Move, Nourish and Believe with us on Sunday 24th September in partnership with Ministry Does Fitness. Enjoy workouts, workshops, food, and beauty from London’s best. Bring with you your water bottle, sweat towel and high energy!",http://www.lornajane.co.uk/news/activenationday/
2,janelle.cherniwchan@lornajane.com,Lorna Jane Quebec City Active Nation Day,Canada,Quebec,,Quebec,G3B2J8,Entourage sur-le-Lac - 99 Chemin du Tour-du-Lac,1pm,1pm,3pm,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/cf6baea2-e3b2-49b3-9fae-2e6f55343d83/Header-banner.jpg,"Get ready to do a whole lot of MOVING, NOURISHING and BELIEVING with Samantha Ushedo and F45 Training plus shop the MNB Markets.",https://www.facebook.com/events/2041710602716835/?active_tab=discussion
1,jessie.dean@lornajane.com.au,Lorna Jane Brisbane Active Nation Day,Australia,Brisbane,Eagle Farm,Queensland,4009,"Northshore, 282 MacArthur Ave",7am,7am,12pm,http://5c4cf848f6454dc02ec8-c49fe7e7355d384845270f4a7a0a7aa1.r53.cf2.rackcdn.com/cf6baea2-e3b2-49b3-9fae-2e6f55343d83/Header-banner.jpg,Your Move Matters! Join Lorna Jane Clarkson on Sunday 24th September along with the BUF Girls and let your actions speak louder than words by inspiring others to move towards a fitter future.,https://www.eventbrite.com.au/e/active-nation-day-brisbane-2017-tickets-37585440063?aff=es2
2,jessie.dean@lornajane.com.au,Lorna Jane Los Angeles Active Nation Day,USA,Los Angeles,Santa Monica,California,90401,"Santa Monica Place - Center Plaza, 395 Santa Monica Place",10am,10am,12pm,,"Wear your brightest Lorna Jane, pack a towel, your water bottle and get ready to sweat! Our 30-minute MOVE class will be a fusion of strength and movements guided by Katie Dunlop of Love Sweat Fitness! Followed by a Yoga cool down.",https://www.eventbrite.com/e/active-nation-day-los-angeles-2017-tickets-37713499091
,ely.moreno@lornajane.mx,Active Nation Day Mexico,Mexico,Mexico City,Nuevo Polanco,CP,11529,PLAZA CARSO. Lago Zurich 219-245,1pm,1pm,3pm,,"Muevete este 24 de Septiembre con Brenda Medina Yoga y Fit 7/8, mujeres renovando su compromiso para mantenerse activas, moviendose al ritmo de la musica en esta clase masiva.",https://www.facebook.com/events/1448712405194083/?context=create&previousaction=create&ref=42&sid_create=2302753766&action_history=[%7B%22surface%22%3A%22create_dialog%22%2C%22mechanism%22%3A%22page_create_dialog%22%2C%22extra_data%22%3A[]%7D]&has_source=1
2,jessie.dean@lornajane.com.au,Lorna Jane Toronto Active Nation Day,Canada,Toronto,North York,ON,M3C 3R6,CF Shops at Don Mills - 1090 Don Mills Rd,7am,7am,2pm,,"Get ready to do a whole lot of MOVING, NOURISHING and BELIEVING with Samantha Ushedo and F45 Training plus shop the MNB Markets.",https://www.facebook.com/events/2041710602716835/?active_tab=discussion
,runawaybay@f45training.com.au,Get moving with F45 Runaway Bay,Australia,Gold Coast,Runaway Bay,Queensland,4216,4/445 Oxley Drive,7am,7am,2pm,,45 min functional circuit Class - 12:30pm. 1 hour Yoga with Merry Maker Sisters - 1:30pm. Afternoon tea.,https://www.facebook.com/f45runawaybay/?ref=br_rs
,gelmpaix1@bigpond.com,Jazzercise Nambour National Active Day,Australia,Sunshine Coast,Nambour,Queensland,4560,Currie Street (enter via Howard Street),8:30am,8:30am,10:45am,,Jazzercise Nambour will provide FREE fitness classes to the community and talk about the benefits of keeping active.,https://www.facebook.com/JazzerciseNambour
,info@theathena.co.uk,Active Nation Day Bootcamp,United Kingdom,Aberdeen,,Aberdeen,,Athena Gym,9am,9am,10:45am,,Bootcamp taster even to raise awareness for fitness and fun.,
,getphysical5@bigpond.com,2-Hour Fitness Challenge,Australia,Alice Springs,,Northern Territory,0870,Get Physical Fitness and Squash Centre,15:00,3pm,,,We dare YOU! Face your biggest fear and workout for 2 hours with Get Physical! Like to compete? Dare a friend and join us together!,https://www.facebook.com/Get-Physical-104393062958102/
